UID,First Name,Last Name,Biography,History,Autobiography,Education,Arts,Photography,Economics,Management,Law,Health,Fiction,Philosophical Fiction,Personal Development,Business,High Fantasy,Space,Story,Philosophy,Historical Novel,Historical Fiction
58,Natasha,Ivanov,2,3,1,2,5,4,3,5,4,2,1,1,3,2,4,5,5,5,5,4
59,Navin,Joshi,3,1,1,4,1,5,4,4,3,3,3,2,1,1,4,2,1,4,5,2
60,Noemi,Silva,2,5,1,5,1,1,3,3,3,5,3,5,2,2,4,4,1,4,2,3
61,Omar,Abdallah,2,2,1,5,3,3,4,4,4,2,3,4,3,2,3,5,5,2,2,4
62,Paolo,Romano,2,1,3,1,2,3,1,3,3,1,1,4,4,2,1,4,2,2,5,4
63,Pierre,Martin,2,4,1,4,3,1,3,4,4,5,5,2,4,1,5,4,4,5,5,1
64,Priya,Kumar,1,4,5,4,5,4,5,5,1,1,2,5,4,4,1,1,2,5,5,5
65,Rafael,Dominguez,3,2,2,1,1,4,5,1,5,5,4,2,4,1,1,4,2,1,4,2
66,Rajesh,Sharma,1,4,5,2,4,1,5,4,4,5,1,5,1,4,3,1,5,5,1,3
67,Rania,El-Sayed,2,2,1,1,5,3,4,5,1,1,2,5,3,2,1,2,1,3,1,4
68,Rashida,Khalid,4,3,1,5,1,3,4,3,4,2,5,4,1,3,3,5,2,1,3,3
69,Reem,Hafez,2,2,1,2,5,1,5,3,5,4,5,5,4,5,1,5,2,4,1,3
70,Renata,Novak,2,3,5,1,2,2,3,1,2,2,5,5,4,2,5,2,5,2,1,3
71,Rodrigo,Moreira,5,1,5,5,2,4,1,5,3,4,3,3,3,5,4,3,1,3,2,4
72,Rohan,Gupta,3,5,2,2,1,2,2,3,5,4,2,5,3,2,1,5,4,2,2,5
73,Rosa,Mendes,1,1,3,3,2,1,4,2,5,3,4,3,4,5,4,4,3,4,1,2
74,Ryota,Aoki,3,5,1,1,5,5,5,4,3,5,5,1,5,4,2,3,2,1,2,4
75,Saida,Bensalah,1,1,3,2,1,1,4,2,4,4,5,4,4,5,5,4,1,2,2,3
76,Satoshi,Yamamoto,3,3,5,1,5,5,1,4,5,2,3,3,2,2,2,3,4,4,5,2
77,Sergio,Santos,5,1,1,1,4,4,2,3,1,1,5,2,4,5,1,5,4,4,4,4
78,Shanti,Patel,2,1,3,1,3,4,2,4,4,4,2,5,3,1,3,1,4,2,3,2
79,Sophia,Martin,1,2,5,5,3,5,2,2,3,2,2,1,3,5,3,5,4,2,1,1
80,Soren,Nielsen,1,1,4,1,5,2,1,1,1,3,5,4,3,4,3,2,4,2,3,5
81,Stefan,Müller,1,1,2,5,3,5,3,1,2,5,1,4,4,2,5,2,4,4,5,3
82,Sunita,Kapoor,2,4,3,1,2,1,1,4,5,3,5,5,5,2,4,3,1,1,5,5
83,Svetlana,Ivanova,2,2,1,3,2,3,5,2,5,5,1,1,4,2,4,2,4,4,4,3
84,Takumi,Watanabe,1,4,1,5,4,2,1,2,2,1,1,3,3,5,5,3,3,5,4,4
85,Tamara,Popova,3,2,1,3,3,3,2,1,1,3,2,1,5,3,1,2,1,1,2,2
86,Tara,O'Sullivan,2,5,1,1,4,2,3,1,3,3,3,1,3,2,3,3,1,1,2,2
87,Tatiana,Petrova,2,5,4,5,4,1,5,5,5,4,3,5,3,1,2,5,1,4,4,1
88,Thabo,Mbeki,2,5,5,3,5,5,3,2,2,2,4,5,4,5,4,2,4,4,4,4
89,Theo,van Dijk,2,5,4,5,5,4,4,5,5,3,3,2,3,3,5,4,1,2,2,3
90,Tian,Chen,5,4,3,2,2,2,3,1,5,1,2,4,1,2,3,1,5,5,4,1
91,Tomasz,Kowalski,1,1,2,2,1,1,2,1,5,4,1,4,1,3,3,1,3,4,3,2
92,Vanessa,Lewis,3,2,3,5,1,4,3,3,4,5,3,5,3,2,4,5,5,1,4,1
93,Veronika,Horváth,1,4,2,2,4,5,2,3,1,3,1,1,3,3,2,3,1,4,3,3
94,Vladimir,Kuznetsov,3,4,4,3,3,4,1,1,4,3,4,3,1,4,2,3,4,3,3,4
95,Wen,Zhang,3,3,4,3,5,5,1,4,5,1,5,2,5,1,2,4,2,1,4,3
96,William,Johnson,5,3,1,5,2,3,3,3,1,4,4,1,1,4,1,3,3,3,2,4
97,Xinyi,Wang,2,3,2,3,4,1,4,5,1,2,3,5,5,5,3,2,5,4,3,1
98,Yasmin,Jafari,4,4,2,4,2,2,2,2,3,3,3,2,5,2,4,3,3,2,1,1
99,Youssef,Haddad,4,4,1,4,2,1,3,3,3,3,1,4,1,4,3,3,1,3,4,4
100,Yuki,Nakamura,1,5,3,3,3,5,3,5,2,1,3,3,4,4,2,4,4,5,3,2
101,Zainab,Malik,4,5,3,1,2,2,5,2,5,4,1,5,2,2,4,2,4,2,1,3
102,Zhang,Wei,2,2,2,2,4,5,3,4,2,5,1,5,3,2,1,2,3,5,3,2
103,Zoey,Williams,4,1,5,1,1,3,3,4,5,4,3,2,3,3,2,1,5,3,3,3
104,Lucas,Mendes,1,3,2,2,3,1,3,3,1,4,3,2,4,4,2,1,4,3,2,3
105,Liyana,Ong,3,5,5,4,1,1,1,1,3,5,4,5,4,2,3,2,2,3,5,3
106,Siti,Rahman,5,3,1,2,2,2,1,5,5,4,4,3,3,5,2,4,5,4,2,5
107,Johan,Andersson,1,5,1,2,5,3,1,3,3,3,3,2,4,3,1,4,2,2,5,1
